 ,
 _ALL,
CUSM_COYE,jliu
CUSM_CROP,jliu
CUSM_CUID,jliu
CUSM_CUS1,jliu
CUSM_CUS2,jliu
CUSM_CUSI,jliu
CUSM_CUST,jliu
CUSM_ITPB,jliu
CUSM_PRINT,jliu
CUSM_SREV,jliu
CVRT,jmoe
CVRT_CVRT,jmoe
CVRT_CVRTDBF,jmoe
CVRT_T7TOSQL,jmoe
CVRT_T8TOSQL,jmoe
DBIC_CVRT,jmoe
DBIC_INST,jmoe
DBIC_SQL,jmoe
DBIC_T8,jmoe
DBIC_UPDT,jmoe
DC,bmarty
DMS_Other,sduepner
DOCO,syates
DOCO_CAPC,syates
DOCO_EXTRACT,syates
DOCO_FSHELP,syates
DOCO_IMPT,syates
DOCO_IVRH,syates
DOCO_MANUALS,syates
DOCO_MISC,syates
DOCO_OCST,syates
DOCO_PRTX,syates
DOCO_RELI,syates
DOCO_SHIP,syates
DOCO_STAD,syates
DOCO-FSE,syates
DOCO-FSE_SBOL,syates
EDIM,jliu
EDIM_ALL,jliu
EDIM_EASN,jliu
EDIM_EDCF,jliu
EDIM_EDIX,jliu
EDIM_EXAS,jliu
EDIM_EXED,jliu
EDIM_EXFC,jliu
EDIM_EXTRACT,jliu
EDIM_GASN,jliu
EDIM_GTED,jliu
EDIM_IMED,jliu
EDIM_IMPT,jliu
EDIM_MISC,jliu
EDIM_MMRV,jliu
EDIM_MPED,jliu
EDIM_PCMT,jliu
EDIM_PORT,jliu
EDIM_REDI,jliu
EDIM_RVED,jliu
EDIM_XPED,jliu
EDSM_ALL,jliu
EDSM_DCAS,jliu
EDSM_IMED,jliu
ENCM,syates
ENGM,jliu
ENGM_ALL,jliu
ENGM_CVRT,jliu
ENGM_EBLI,jliu
ENGM_EBLL,jliu
ENGM_ECMP,jliu
ENGM_ECMS,jliu
ENGM_ECRA,jliu
ENGM_ECRD,jliu
ENGM_ECRL,jliu
ENGM_EDBA,jliu
ENGM_EIMP,jliu
ENGM_EITB,jliu
ENGM_EITI,jliu
ENGM_EMLB,jliu
ENGM_EMWU,jliu
ENGM_ESMB,jliu
ENGM_EWUS,jliu
ENGM_MISC,jliu
ENGM_PBLI,jliu
ENGM_PBLL,jliu
ENGM_PCMP,jliu
ENGM_PCMS,jliu
ENGM_PCRL,jliu
ENGM_PITB,jliu
ENGM_PITI,jliu
ENGM_PMLB,jliu
ENGM_PMWU,jliu
ENGM_PRINT,jliu
ENGM_PRRD,jliu
ENGM_PWUS,jliu
ENGM_WKFL,jliu
EXPM,jliu
EXPM_ACCX,jliu
EXPM_ALL,jliu
EXPM_ASCX,jliu
EXPM_DBSX,jliu
EXPM_DVUD,jliu
EXPM_EXLX,jliu
